"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"Deconvolved Conventional Beamforming and Adaptive Cubature Kalman Filter Based Distant Speech Perception System","X. Pan; Y. Bao; Y. Zhu; H. Dai; J. Zhang","School of Information Science and Electronic Engineering, Zhejiang University, Hangzhou, China; School of Information Science and Electronic Engineering, Zhejiang University, Hangzhou, China; School of Information Science and Electronic Engineering, Zhejiang University, Hangzhou, China; School of Information Science and Electronic Engineering, Zhejiang University, Hangzhou, China; Department of Electrical and Computer Engineering, Missouri University of Science and Technology, Rolla, MO, USA",IEEE Access,"21 Oct 2020","2020","8","","187948","187958","A spatial-temporal processing framework integrated of speech enhancement and speech tracking is proposed in this paper for distant speech perception. First, weak speech signals are enhanced by the deconvolved conventional beamforming (DCBF) with a microphone array. By virtue of the narrow beamwidth and low sidelobes of the DCBF, the competing sources can be effectively suppressed without introducing extra speech distortion. Second, with the accurate bearing provided by the DCBF, the Cubature Kalman filter can be utilized to track the speech source of interest. By introducing a scaling factor in the current statistical motion model, a new tracking algorithm is proposed which is suitable for both maneuvering and nonmaneuvering speech sources. The introduced scaling factor can be adaptively adjusted to improve the tracking performance of the proposed algorithm for different motion models. Numerical results show that the proposed algorithm can provide better tracking performance than the conventional one. In particular, the tracking root mean square error can be reduced by half for some cases.","2169-3536","","10.1109/ACCESS.2020.3030814","National Natural Science Foundation of China(grant numbers:41776108,61571397,61171148); National Key Research Program of China(grant numbers:2017YFC0306901); Cynthia Tang Endowment in Computer Engineering, Missouri University of Science and Technology, Rolla, MO, USA; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9222129","Cubature Kalman filter;deconvolved conventional beamforming;improved current statistical motion model;maneuvering speech source;speech perception system","Adaptation models;Kalman filters;Tracking;Array signal processing;Speech enhancement;Direction-of-arrival estimation;Numerical models","","4","","30","CCBYNCND","13 Oct 2020","2020","","IEEE","IEEE Journals"
"DOA Estimation on Sub-Array Geometry Using Model Based Approach","P. Raiguru; R. K. Mishore","ECE SOA (Deemed to be University), Bhubaneswar, ODISHA; Berhampur University, India",2019 International Conference on Applied Machine Learning (ICAML),"10 Feb 2020","2019","","","53","56","The paper presents a model-based method to estimate the DOAs of multiple targets using various adaptive algorithms. The model the parameters of the LTI system are considered as the weight associating the adaptive filter. Further to improve the performance, the geometry of the Antenna array is altered which can reduce the computation complexity and the cost of the array system for practical consideration.","","978-1-7281-3908-1","10.1109/ICAML48257.2019.00018","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8989248","DEMVRSS , Extended Kalman Filter, DOA","Geometry;Linear systems;Adaptation models;Direction-of-arrival estimation;Computational modeling;Estimation;Adaptive filters;Machine learning;Kalman filters;Antenna arrays","","","","14","IEEE","10 Feb 2020","25-26 May 2019","25-26 May 2019","IEEE","IEEE Conferences"
"Kalman Filter for Dynamic Imaging Based on Complex Empirical Covariances","N. Arab; C. Cano; I. Vin; M. N. El Korso; E. Chaumette; P. Larzabal","SATIE, ENS Paris-Saclay, Université Paris-Saclay, Gif-sur-Y vette, France; ISAE-SUPAERO, Université de Toulouse, Toulouse, France; SATIE, ENS Paris-Saclay, Université Paris-Saclay, Gif-sur-Y vette, France; L2S, CentraleSupelec, Université Paris-Saclay, Gif-sur-Y vette, France; ISAE-SUPAERO, Université de Toulouse, Toulouse, France; SATIE, ENS Paris-Saclay, Université Paris-Saclay, Gif-sur-Y vette, France",2023 IEEE 9th International Workshop on Computational Advances in Multi-Sensor Adaptive Processing (CAMSAP),"31 Jan 2024","2023","","","461","465","Kalman filter (KF) is a priori unsuitable for the estimation from sample covariance matrices as they cannot be formulated analytically as a function of state parameters to be estimated. In this work, we propose a novel KF adapted to sample covariance matrices under the unconditional signal model. It is evaluated on simulated data representative of a dynamic radio astronomy framework, considering multiple uncorrelated sources and Gaussian noise. The results show that our method is capable of effectively tracking moving sources in complex scenes with greater accuracy than a KF regularized in a standard way, i.e., without proper formalization of the noise model.","","979-8-3503-4452-3","10.1109/CAMSAP58249.2023.10403483","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10403483","Estimation;Kalman filter;Visibility matrix;Radio astronomy","Adaptation models;Radio astronomy;Fitting;Kalman filters;Noise measurement;Covariance matrices;Standards","","2","","13","IEEE","31 Jan 2024","10-13 Dec. 2023","10-13 Dec. 2023","IEEE","IEEE Conferences"
"RF emitter localization and beam pattern auto-calibration using amplitude comparison of a two-element array","Yuanbo Xiong; Boon Poh Ng; R. Yang","College of Architecture and Environment, Sichuan University, Chengdu, China; College of Architecture and Environment, Sichuan University, Chengdu, China; College of Architecture and Environment, Sichuan University, Chengdu, China",2015 IEEE 6th International Workshop on Computational Advances in Multi-Sensor Adaptive Processing (CAMSAP),"21 Jan 2016","2015","","","313","316","Amplitude comparison is an efficient method to find the direction of arrival (DOA) of a radio frequency (RF) emitter. However, the DOA accuracy obtained by this method is usually poor due to beam pattern distortion. This paper provides a localization and beam pattern auto-calibration method, which estimates a RF emitter position and antenna beam pattern distortion simultaneously. The problem is formulated as a nonlinear dynamic estimation problem with an augmented state of emitter position and antenna distortion parameter. The state is directly estimated from the amplitude outputs of a two-element array. A multiple model unscented Kalman filter (MM-UKF) consisting of multiple initial states is proposed. It can adapt to different beam pattern distortion levels automatically. The algorithm is tested on a simulated antenna system. The results show that the MM-UKF outperforms the single model UKFs, and provides stable root mean square errors (RMSE) on different distortion levels.","","978-1-4799-1963-5","10.1109/CAMSAP.2015.7383799","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7383799","Linear array;auto-calibration;RF localization;amplitude-comparison;multiple model UKF","Antennas;Nonlinear distortion;Radio frequency;Arrays;Direction-of-arrival estimation;Adaptation models","","2","","13","IEEE","21 Jan 2016","13-16 Dec. 2015","13-16 Dec. 2015","IEEE","IEEE Conferences"
"Passive Multisource Tracking via Distributed Sparse Arrays: Homogeneous Data Fusion and Multivariate Adaptation","J. Cao; M. Yang; M. You; X. Yin; X. Zhang; J. Li","College of Electronic and Information Engineering, Nanjing University of Aeronautics and Astronautics, Nanjing, China; College of Electronic and Information Engineering, Nanjing University of Aeronautics and Astronautics, Nanjing, China; National Key Laboratory of Electromagnetic Space Security, No. 36 Research Institute of CETC, Jiaxing, China; College of Electronic and Information Engineering, Nanjing University of Aeronautics and Astronautics, Nanjing, China; College of Electronic and Information Engineering, Nanjing University of Aeronautics and Astronautics, Nanjing, China; College of Electronic and Information Engineering, Nanjing University of Aeronautics and Astronautics, Nanjing, China",IEEE Transactions on Intelligent Transportation Systems,"5 May 2025","2025","26","5","6570","6586","The global navigation satellite systems (GNSS) are crucial for applications such as traffic monitoring, intelligent transportation systems and advanced driver assistance systems; however, they are prone to large deviations or even failures in hidden scenarios such as urban canyons and tunnels. In this paper, we investigate a system based on distributed arrays for positioning and tracking of multiple vehicles as a supplement to the GNSS. Conventional tracking methods often assume a constant signal-to-noise ratio (SNR) across arrays; however, this assumption does not hold in dynamic, dense traffic or signal-obstructed areas where variable SNR conditions frequently arise. To address this, this paper proposes two adaptive passive position tracking methods utilizing distributed sparse arrays, which are robust to variations in SNR and capable of maintaining reliable tracking performance. The first method relies on the extended Kalman filter (EKF) algorithm, while the second employs the unscented Kalman filter (UKF) algorithm. A novel tracking system model is developed, including a multi-target state transfer equation and a fused signal equation. The unknown noise covariance and signal covariance of the fused signal are estimated using vectorization and least squares methods, respectively. Prior state information and minimum mean square error estimation are incorporated to address unknown signal challenges within the EKF and UKF frameworks. Additionally, the posterior Cramér-Rao bound provides a performance benchmark, underscoring the robustness of the proposed methods. Computer simulation studies and practical tests show that the proposed methods significantly improve computational efficiency and tracking performance in vehicle tracking, demonstrating high adaptability to noise variations compared to traditional methods.","1558-0016","","10.1109/TITS.2025.3528421","China NSF(grant numbers:62371225,62371227); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10850592","Passive position tracking;distributed sparse arrays;array signal processing;adaptive estimation;extended Kalman filter;unscented Kalman filter;data fusion","Noise;Mathematical models;Kalman filters;Adaptive arrays;Array signal processing;Adaptation models;Global navigation satellite system;Signal to noise ratio;Arrays;Computational modeling","","1","","49","IEEE","23 Jan 2025","May 2025","","IEEE","IEEE Journals"
"Pose-Aware 3D Beamwidth Adaptation for Mobile Extended Reality","A. Duru; M. Mozaffari; M. Afshang; T. Zhang; T. Khan; T. E. Humphreys; J. G. Andrews","University of Texas at Austin, Austin, TX, USA; Ericsson Research, Santa Clara, CA, USA; Ericsson Research, Santa Clara, CA, USA; Ericsson Research, Santa Clara, CA, USA; Ericsson Research, Santa Clara, CA, USA; University of Texas at Austin, Austin, TX, USA; University of Texas at Austin, Austin, TX, USA",ICC 2024 - IEEE International Conference on Communications,"20 Aug 2024","2024","","","3877","3882","This paper presents a sensor-aided pose-aware beamwidth adaptation design for a conceptual extended reality (XR) Head-Mounted Display (HMD) equipped with a 2D planar array. The beam is tracked and adapted on the user side by leveraging HMD orientation estimates. The beamwidth adaptation scheme is effected by selective deactivation of elements in the 2D antenna array, employing the angular estimation covariance matrix to overlap the beam with the estimation confidence interval. The proposed method utilizes the estimation correlations to adapt the beamwidth along the confidence interval of these estimates. Compared to a beamwidth adaptation without leveraging estimation correlations, the proposed method demonstrates the gain of leveraging estimation correlations by improving the coverage area for a given outage probability threshold by approximately 16 %, or equivalently increasing the power efficiency up to 18 %.","1938-1883","978-1-7281-9054-9","10.1109/ICC51166.2024.10622341","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10622341","Extended Reality;XR;Pose-aware;Sensor-aided;Beamwidth Adaptation;Confidence Interval","Solid modeling;Correlation;Three-dimensional displays;Extended reality;Two-dimensional displays;Estimation;Adaptive arrays","","6","","15","IEEE","20 Aug 2024","9-13 June 2024","9-13 June 2024","IEEE","IEEE Conferences"
"Robust Vehicle Localization Based on Adaptive DOA Estimation and UKF under Varying Interference Conditions","D. Hu; P. Lin; M. Tsukada","Graduate School of Information Science and Technology, University of Tokyo, Japan; Graduate School of Information Science and Technology, University of Tokyo, Japan; Graduate School of Information Science and Technology, University of Tokyo, Japan",2026 IEEE 23rd Consumer Communications & Networking Conference (CCNC),"4 Feb 2026","2026","","","1","2","Accurate localization in GPS-denied environments is vital for ITS and vehicular networks. While Root-MUSIC offers high accuracy in clean LoS conditions, FBSS enhances robustness under multipath and interference. To overcome the limitations of fixed estimators, this paper proposes an adaptive DOA-based localization framework that selects Root-MUSIC+UKF in low-interference regimes and FBSS-Root-MUSIC+UKF when interference is strong. Simulations show that the proposed method consistently reduces positioning error across varying SNR and interference levels, providing reliable GPS-free vehicle localization in non-stationary wireless environments.","2331-9860","979-8-3315-9673-6","10.1109/CCNC65079.2026.11366311","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11366311","DoA estimation;Root-MUSIC;FBSS;UKF;vehicle localization;adaptive framework","Location awareness;Wireless communication;Adaptation models;Direction-of-arrival estimation;Accuracy;Adaptive systems;Estimation;Interference;Robustness;Signal to noise ratio","","","","2","IEEE","4 Feb 2026","9-12 Jan. 2026","9-12 Jan. 2026","IEEE","IEEE Conferences"
"Deep Fuzzy System for Dual-Station Target Tracking With Azimuth and Doppler Measurements","J. Huang; X. Geng; L. Kang; G. Luo","College of Electronics and Information Engineering, Shenzhen University, Shenzhen, China; College of Electronics and Information Engineering, Shenzhen University, Shenzhen, China; College of Electronics and Information Engineering, Shenzhen University, Shenzhen, China; College of Electronics and Information Engineering, Shenzhen University, Shenzhen, China",IEEE Transactions on Fuzzy Systems,"1 Apr 2025","2025","33","4","1287","1297","To address the issues of excessive estimation error and unstable filtering caused by uncertainties in process noise and system models, we propose a Wang–Mendel fuzzy system (WMFS)-based unscented Kalman filter (UKF) algorithm for dual-station target tracking with azimuth and Doppler measurements. The algorithm leverages the strengths of WMFS in handling system uncertainties and complex modeling. During the derivation of the WMFS-UKF, the unscented transform (UT) framework is employed to tackle the nonlinear measurement problem, while the state transition function is reconstructed using a pretrained WMFS. By utilizing the historical states of the target and the expected outputs, the WM fuzzy inference system achieves more accurate state predictions and precise covariance estimates. This leads to significantly improved performance and enhanced stability in target tracking. Simulation experiments and real-data filtering experiment validate the algorithm's effectiveness and robustness in various target tracking scenarios.","1941-0034","","10.1109/TFUZZ.2024.3519767","Shenzhen Science and Technology Program(grant numbers:JCYJ20220818100004008); Guangdong Provincial Key Laboratory(grant numbers:2023B1212060076); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10806764","Azimuth and Doppler;uncertain models;unscented filtering;Wang–Mendel fuzzy model","Fuzzy systems;Target tracking;Uncertainty;Filtering;Mathematical models;Kalman filters;Doppler effect;Adaptation models;Accuracy;Noise","","","","31","IEEE","18 Dec 2024","April 2025","","IEEE","IEEE Journals"
"CoPreMo: A Collaborative Predictive Model in Time Series and Its Application to Radar Target Tracking for ADAS/AD Vehicles","Z. E. Ekolle; R. Kohno","YRP-International Alliance Institute, Yokosuka, Japan; YRP-International Alliance Institute, Yokosuka, Japan",IEEE Transactions on Intelligent Vehicles,"10 Oct 2025","2025","10","6","3659","3669","Automotivedriving assistant systems (ADAS) and Automated driving (AD) technologies are commonly employed in the control of unmanned vehicles along a path. However, like many other technologies, they come with risks, including potential misdirection and collisions with obstacles along the vehicle's route. To mitigate these risks, various tracking systems, including radar tracking systems, are employed to detect and monitor targets along the trajectories of ADAS/AD vehicles. Nevertheless, the effectiveness of these tracking operations is crucial in assessing the reliability of both tracking systems and ADAS/AD technologies, especially at the edge-computing level. In this study, we introduce a tracking technique using a collaborative predictive model in a time series, named CoPreMo, aimed at enhancing the reliability of radar system tracking operations. We conducted three experiments with this model on a simulated radar system to track a target's range at varying speeds across three ADAS/AD scenarios. The experiments yielded range tracking errors of 0.21 m, 0.26 m, and 0.32 m, outperforming the baseline models.","2379-8904","","10.1109/TIV.2024.3461730","National Institute of Information and Communications Technology(grant numbers:JPJ012368C22801); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10681252","ADAS;automated driving;collaborative models;radar sensors;time-series prediction;target tracking","Radar tracking;Target tracking;Radar;Kalman filters;Bayes methods;Estimation;Adaptation models","","2","","23","IEEE","16 Sep 2024","June 2025","","IEEE","IEEE Journals"
"Generating Augmented Quaternion Random Variable With Generalized Gaussian Distribution","R. Krupiński","Department of Signal Processing and Multimedia Engineering, West Pomeranian University of Technology, Szczecin, Poland",IEEE Access,"18 Jul 2018","2018","6","","34608","34615","There is a need to generate quaternion valued processes with a given distribution ranging from super-Gaussian, Gaussian to sub-Gaussian with different degrees of properness for numerous practical applications, such as modeling the signal source, testing nonlinear adaptive filter models, watermarking, generating Q-proper and Q-improper processes, the synthesis of color images, and testing the algorithms of step detection. Therefore, in this paper, the alternative quaternion generalized Gaussian probability density function is derived for an augmented quaternion valued variable, and the procedure for generating the augmented quaternion valued random variables is defined for this distribution. Additionally, the 3-D generalized Gaussian distribution probability density function parameterized by the shape parameterp and the covariance matrix C is revised.","2169-3536","","10.1109/ACCESS.2018.2848202","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8386761","Generalized Gaussian distribution;QGGD;quaternion;generator","Quaternions;Gaussian distribution;Shape;Maximum likelihood estimation;Random variables;Adaptation models;Probability density function","","7","","56","OAPA","15 Jun 2018","2018","","IEEE","IEEE Journals"
