"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"EKF based Direct Target Motion Analysis","Y. Zhou; W. Li; Y. Chen; G. Li; L. Gao","School of Information and Communication Engineering, University of Electronic Science and Technology of China, Chengdu, China; School of Information and Communication Engineering, University of Electronic Science and Technology of China, Chengdu, China; School of Information and Communication Engineering, University of Electronic Science and Technology of China, Chengdu, China; School of Information and Communication Engineering, University of Electronic Science and Technology of China, Chengdu, China; School of Information and Communication Engineering, University of Electronic Science and Technology of China, Chengdu, China",2022 2nd Asia Conference on Information Engineering (ACIE),"25 Jul 2022","2022","","","56","61","Traditional target motion analysis (TMA) is normally carried out with a two-step method, where the first step is to search for the parameterized measurements (e.g., bearing, Doppler) of a target with signal processing algorithms, followed by a recursive or batched geographic tracking algorithm. In this paper, we propose a new direct TMA (DTMA) algorithm with a sensor array based on the extended Kalman filter (EKF) running within the Cartesian coordinate. In such a scenario, the sensor has to execute a maneuver to gain the observability with respect to target state. By exploiting the direction of arrival (DOA) effect of the received signal, the Jacobian matrix, which is essential for linearizing the measurement function with the EKF method, is achieved. A remarkable feature of the proposed algorithm is that it can directly estimate target state in the Cartesian coordinate from the single snapshot received signal. The effectiveness of proposed algorithm is assessed via simulation experiments.","","978-1-6654-7973-8","10.1109/ACIE55485.2022.00020","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9831629","Target motion analysis;extended Kalman filter;Jacobian matrix;bearing-only tracking","Jacobian matrices;Direction-of-arrival estimation;Target tracking;Simulation;Signal processing algorithms;Information filters;Kalman filters","","","","26","IEEE","25 Jul 2022","15-17 Jan. 2022","15-17 Jan. 2022","IEEE","IEEE Conferences"
"Hydroacoustic Array Beamforming Technique Based on KPM-LCMV Algorithm","H. Cui; J. Wang; J. Xu; Q. Niu","College of Information Science and Technology, Qingdao University of Science and Technology, Qingdao, China; College of Information Science and Technology, Qingdao University of Science and Technology, Qingdao, China; College of Information Science and Technology, Qingdao University of Science and Technology, Qingdao, China; College of Information Science and Technology, Qingdao University of Science and Technology, Qingdao, China",2023 IEEE 6th International Conference on Electronic Information and Communication Technology (ICEICT),"22 Sep 2023","2023","","","4","9","The adaptive beamforming algorithm, Linearly Constrained Minimum Variance (LCMV), is improved and implemented in simulation. In this paper, we propose an adaptive beamforming algorithm based on Kalman filtering with special matrix processing (KPM-LCMV, Kalman filtering & PID control & Matrix processing based on LCMV) for PID control optimization, and its main research contents are as follows: Firstly, to reduce the directional angle estimation error, this paper firstly iterates the classical DOA (Direction of Arrival) estimation algorithm by using Kalman filtering algorithm and corrects it by error. This paper further optimizes the above algorithm by using Proportion Integration Differentiation (PID) control to obtain more accurate directional angles. Kalman algorithm optimization based on PID technology: It is based on PID technology to eliminate the steady-state error in Kalman algorithm to optimize the accuracy of DOA estimation, and some direction-of-arrival estimation algorithms can be further optimized by this technology; secondly, for how to reduce the computational effort and stability of the covariance matrix, in this paper, optimization is performed by a special matrix processing method. Optimization of the adaptive beamforming method based on linear constrained minimum variance: that is, based on the linear constrained minimum variance criterion, the covariance matrix of the signal is optimized by frequency domain transformation and generalized inverse correction to reduce the computational effort, improve the convergence speed, and reduce the effect of small eigenvalue perturbations on beamforming when the signal-to-noise ratio is elevated.","2836-7782","979-8-3503-9905-9","10.1109/ICEICT57916.2023.10245162","National Natural Science Foundation of China (NSFC)(grant numbers:62171246,62101298); Natural Science Foundation of Shandong(grant numbers:ZR2021ZD12,ZR2021MF130); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10245162","adaptive beamforming;hydroacoustic array communication;LCMV;Kalman filtering;PID control","Direction-of-arrival estimation;PI control;Array signal processing;Process control;Adaptive arrays;Kalman filters;PD control","","1","","18","IEEE","22 Sep 2023","21-24 July 2023","21-24 July 2023","IEEE","IEEE Conferences"
"Multi-Hypothesis Square-Root Cubature Kalman Particle Filter for Speaker Tracking in Noisy and Reverberant Environments","Q. Zhang; W. Xu; W. Zhang; J. Feng; Z. Chen","School of Information Science and Technology, Zhejiang Sci-Tech University, Hangzhou, China; School of Information Science and Technology, Zhejiang Sci-Tech University, Hangzhou, China; Information Science and Technology College, Dalian Maritime University, Dalian, China; School of Information Science and Technology, Zhejiang Sci-Tech University, Hangzhou, China; School of Electrical Engineering and Computing, University of Newcastle, Callaghan, Australia","IEEE/ACM Transactions on Audio, Speech, and Language Processing","27 Apr 2020","2020","28","","1183","1197","In this paper, a multi-hypothesis square-root cubature Kalman particle filter (MH-SRCKPF) is proposed for speaker tracking in noisy and reverberant environments with distributed microphone arrays. The conventional cubature Kalman particle filter (CKPF) uses the cubature Kalman filter (CKF) to generate its proposal for particle sampling. Such a proposal incorporates only one observation from a certain localization function for the state estimation, which is vulnerable to noise or reverberation, yielding the degraded tracking performance. To tackle the problem, by incorporating multiple possible observations into CKF for the proposal, a multi-hypothesis CKPF (MH-CKPF) algorithm is first developed. Furthermore, to improve the numerical stability, an MH-SRCKPF algorithm is developed, where the state estimate and the square root of the error covariance are propagated at each time. Finally, the MH-SRCKPF is applied to the speaker tracking problems in distributed microphone arrays. Experimental results demonstrate that the proposed MH-SRCKPF outperforms the competing methods in the presence of noise and reverberation. Meanwhile, by propagating the square root of the state covariance, the proposed method exhibits attractive numerical characteristics.","2329-9304","","10.1109/TASLP.2020.2982799","National Natural Science Foundation of China(grant numbers:61806178,61501402); National Natural Science Foundation of China(grant numbers:U1709219); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9044756","Cubature Kalman particle filter;square-root filter;time difference of arrival;cubature Kalman filter;distributed microphone arrays","Kalman filters;Proposals;Bayes methods;Reverberation;Noise measurement;Microphone arrays","","13","","40","IEEE","23 Mar 2020","2020","","IEEE","IEEE Journals"
"Multiple signal classification algorithm compensated by Extended Kalman Particle Filtering for Wi-Fi through wall multi-target tracking","K. E. Ahmed; K. M. Attiah; A. S. Eltrass","Electrical Engineering Department, Alexandria University, Alexandria, Egypt; Electrical Engineering Department, Alexandria University, Alexandria, Egypt; Electrical Engineering Department, Alexandria University, Alexandria, Egypt",2016 IEEE-APS Topical Conference on Antennas and Propagation in Wireless Communications (APWC),"10 Nov 2016","2016","","","66","69","In this work, a multiple-target tracking problem for a Wi-Fi through wall system is formulated and a new Direction Of Arrival (DOA) angle estimation technique is investigated to solve the tracking problem in the presence of clutter. The DOA estimation from objects behind walls is investigated utilizing the MUltiple SIgnal Classification (MUSIC) algorithm compensated by Extended Kalman Particle Filtering (EKPF) technique for the first time. Simulation results show that the stand-alone MUSIC algorithm fails to identify two distinct objects having close DOAs and fails to track targets when they are moving close to each other. The results also reveal that the EKPF algorithm in conjunction with MIMO nulling technique correctly identifies close and overshadowed moving objects and improves the tracking success rate.","","978-1-5090-0470-6","10.1109/APWC.2016.7738120","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7738120","","Multiple signal classification;Direction-of-arrival estimation;Radar tracking;Target tracking;MIMO;IEEE 802.11 Standard;Receiving antennas","","2","","5","IEEE","10 Nov 2016","19-23 Sept. 2016","19-23 Sept. 2016","IEEE","IEEE Conferences"
"Joint 2D-DOA and Carrier Frequency Estimation Technique Using Nonlinear Kalman Filters for Cognitive Radio","S. Elaraby; H. Y. Soliman; H. M. Abdel-Atty; M. A. Mohamed","Electrical Engineering Department, Port Said University, Port Said, Egypt; Electrical Engineering Department, Port Said University, Port Said, Egypt; Electrical Engineering Department, Port Said University, Port Said, Egypt; Electronics and Communication Engineering Department, Mansoura University, Mansoura, Egypt",IEEE Access,"22 Nov 2017","2017","5","","25097","25109","The problem of jointly estimating carrier frequencies and their corresponding two-dimension direction of arrivals (DOA) of band-limited source signals is considered in this paper for cognitive radio. The main problem of estimating carrier frequencies spread over a wideband spectrum is the requirement of high sampling rates. Thus, the Kalman filters are applied in the spatial domain instead of the temporal domain in the proposed algorithm to relax hardware complexity. The proposed algorithm exploits both the azimuth and elevation angles instead of a single DOA to increase the spatial capacity. Two approaches are proposed using two different types of nonlinear Kalman filter: extended Kalman filter (EKF) and unscented Kalman filter (UKF). Using simulations, the factors that affect the performance of both the filters are discussed. Scaling the estimated parameters to the same range and the proper tuning and initialization of the filters are crucial factors to prevent the filter divergence. Although UKF is supposed to have a better performance than EKF, reducing the inter-element spacing of the employed arrays and the proper filter initialization can make EKF approach the performance of UKF. On the other hand, UKF suffers from high processing time. Overall, both filters are able to converge to the true values of the unknown parameters using a number of relaxed analog-to-digital converters equal to the number of the array elements in the employed arrays. However, the approaches can detect a number of source signals higher than one-third of the total number of the array elements.","2169-3536","","10.1109/ACCESS.2017.2768221","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8091116","2D-DOA estimation;cognitive radio;extended Kalman filter;spectrum sensing;unscented Kalman filter","Kalman filters;Frequency estimation;Proposals;Algorithm design and analysis;Direction-of-arrival estimation;Wideband;Covariance matrices","","8","","24","OAPA","31 Oct 2017","2017","","IEEE","IEEE Journals"
"An Indirect Location Method for Indoor Target Tracking Based on Single Acoustic Vector Sensor","Y. Jiahui; G. Shesheng; Z. Jiahao; H. Gaoge; L. Guo","School of Automatics, Northwestern Polytechnical University, Xi’an, China; School of Automatics, Northwestern Polytechnical University, Xi’an, China; School of Automatics, Northwestern Polytechnical University, Xi’an, China; School of Automatics, Northwestern Polytechnical University, Xi’an, China; School of Automatics, Northwestern Polytechnical University, Xi’an, China","2019 IEEE 4th Advanced Information Technology, Electronic and Automation Control Conference (IAEAC)","13 Feb 2020","2019","1","","2247","2251","The traditional capon spectra estimation is not suitable for extracting direction of arrival (DOA) under impulse noise. In the case of tracking and locating a single target with a single acoustic vector sensor (AVS), the extracted DOA may be incorrect at low signal-to-noise ratio (SNR), especially when there is an interference source near the target. In order to track and locate the target accurately even when the measurement is disturbed by abnormal values, an improved capon spectra estimator is proposed by combining cubature information filtering (CIF) and gating technology. Finally, the effectiveness of proposed method is verified by simulation experiments.","2381-0947","978-1-7281-1907-6","10.1109/IAEAC47372.2019.8997631","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8997631","acoustic vector sensor;capon spectra estimation;cubature information filtering;indoor target trackingc;gating technology","Direction-of-arrival estimation;Target tracking;Signal to noise ratio;Covariance matrices;Array signal processing;Acoustics;Estimation","","","","13","IEEE","13 Feb 2020","20-22 Dec. 2019","20-22 Dec. 2019","IEEE","IEEE Conferences"
"Millidegree-Level Direction-of-Arrival (DoA) Estimation and Tracking for Terahertz Wireless Communications","Y. Chen; L. Yan; C. Han","University of Michigan-Shanghai Jiao Tong University Joint Institute, Shanghai Jiao Tong University, China; University of Michigan-Shanghai Jiao Tong University Joint Institute, Shanghai Jiao Tong University, China; University of Michigan-Shanghai Jiao Tong University Joint Institute, Shanghai Jiao Tong University, China","2020 17th Annual IEEE International Conference on Sensing, Communication, and Networking (SECON)","4 Aug 2020","2020","","","1","9","The Terahertz (0.1-10 THz) band is envisioned to meet the rapid growth of wireless data rates. Achieving high beamforming gain and reduced hardware complexity, the array-of-subarrays (AoSA) hybrid beamforming is a promising technology to be adopted for THz communications. The generated razor-sharp beam can compensate for the severe path loss and overcome the distance limitation. However, major challenges in the THz hybrid beamforming system include millidegree-level three-dimensional (3D) angle estimation, and overhead reduction beam tracking. To solve these challenges, an off-grid ultra-high-resolution direction-of-arrival (DoA) estimation method that matches the AoSA architecture, namely, AoSA-MUSIC, is developed in this paper, which involves coarse and refine training. Furthermore, an extended DoA tracking method, namely, AoSA-MUSIC-T, is developed, which employs a subspace tracking scheme with the overhead reduced tracking observation to replace the high-complexity eigenvalue decomposition (EVD) process in the AoSA-MUSIC method. Simulation results show that the proposed AoSA-MUSIC can obtain millidegree-level precise DoA estimation. Moreover, the AoSA-MUSIC-T tracking algorithm can capture the fleeting DoA variation in millisecond with fifty-percent reduced training overhead.","2155-5494","978-1-7281-6630-8","10.1109/SECON48991.2020.9158439","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9158439","Terahertz communications;Direction of Arrival (DoA) estimation and tracking;Array-of-subarrays (AoSA)","Direction-of-arrival estimation;Estimation;Training;Array signal processing;Multiple signal classification;Antenna arrays","","20","","18","IEEE","4 Aug 2020","22-25 June 2020","22-25 June 2020","IEEE","IEEE Conferences"
"Direction-of-Arrival Estimation With Virtual Antenna Array: Observability Analysis, Local Oscillator Frequency Offset Compensation, and Experimental Results","J. Cheng; K. Guan; F. Quitin","BEAMS-EE (Embedded Electronics) Research Unit, Brussels School of Engineering, Université Libre de Bruxelles, Bruxelles, Belgium; State Key Laboratory of Rail Traffic Control and Safety, Beijing Jiaotong University, Beijing, China; BEAMS-EE (Embedded Electronics) Research Unit, Brussels School of Engineering, Université Libre de Bruxelles, Bruxelles, Belgium",IEEE Transactions on Instrumentation and Measurement,"23 Jun 2021","2021","70","","1","13","Estimating the direction-of-arrival (DoA) of radio frequency sources is essential in many wireless applications. Traditional DoA estimation based on bearing measurements requires multiantenna arrays, which is not suitable for portable electronics for its large form factor. In this article, we improved a novelty single-antenna-based DoA estimation technique, called virtual multiantenna arrays. While the device is moving and continuously receiving signals, the DoA can be estimated by measuring the intercepted signals at several positions along the receiver's trajectory. Previous virtual array technology left two unsolved problems. Some receiver movements are not able to estimate the DoA, without a theoretical basis to screen feasible trajectories; the virtual array requires precise, relative coordinates of the receiver, which is challenging in reality. This article investigates the feasibility of the virtual array and improves its robustness by addressing these two unsolved problems. A theoretical foundation for feasible receiver trajectory determination is provided; the receiver has to move with accelerations to make the DoA observable. Also, we prove the nature that the DoA could be estimated by measuring the accelerations only, where precise receiver position is not mandatory. These results indicate that the virtual array is feasible with simple receiver movements and low-cost commercial equipment, thus significantly reducing system complexity and cost. Simulations are conducted to validate our theoretical predictions. The proof of concept implemented on a software-defined radio testbed also proves the validity and suitability of the improved DoA estimation technology in applications with form-factor constraints.","1557-9662","","10.1109/TIM.2021.3088434","Chinese Scholarship Council (CSC)(grant numbers:201707650022); Fonds de la Recherche Scientifique (FNRS) through the EOS Project(grant numbers:30452698,PINT-BILAT-M-R.M0008.18); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9452144","Direction finding;radiogoniometry;signal-direction tracking;software-defined radio;synthetic aperture radar (SAR);virtual antenna array","Receivers;Direction-of-arrival estimation;Estimation;Trajectory;Phased arrays;Antenna measurements;Location awareness","","17","","48","IEEE","11 Jun 2021","2021","","IEEE","IEEE Journals"
"Effect of parameters of phase-modulated M-sequence signal on direction-of-arrival and localization error","S. Ogiso; T. Kawagishi; K. Mizutani; N. Wakatsuki; K. Zempo","Ph.D. Program in Empowerment Inforamatics, University of Tsukuba, Japan; Graduate School of Systems and Information Engineering, University of Tsukuba, Japan; Faculty of Engineering, Information and Systems, University of Tsukuba, Japan; Faculty of Engineering, Information and Systems, University of Tsukuba, Japan; Faculty of Engineering, Information and Systems, University of Tsukuba, Japan",2016 International Conference on Indoor Positioning and Indoor Navigation (IPIN),"17 Nov 2016","2016","","","1","6","In this paper, signals for acoustic beacons with M sequence are evaluated with various parameters for self-localization of mobile robot. The effect of (i) baud rate, (ii) carrier frequency and (iii) order of M sequence on DOA estimation error and localization error are evaluated by computer simulation. As a result, localization is possible with same class or more precision compared to the result from sound beacon with three chirp signals within 5 kHz-18 kHz by choosing the appropriate parameters, which are (i)baud rate is more than around 8 kHz and (ii)carrier frequency is 10 kHz. Particularly, (i) baud rate and (ii) carrier frequency have influence on the localization error. However, the localization error do not change into even a further baud rate in this condition if baud rate is higher than carrier frequency. In this simulation, no influence is confirmed from (iii)order of M sequence. The result indicates that M sequence can be used as signal of acoustic beacons instead of chirp, which occupies frequency band.","2471-917X","978-1-5090-2425-4","10.1109/IPIN.2016.7743612","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7743612","","Direction-of-arrival estimation;Acoustics;Microphone arrays;Mobile robots;Sensors","","2","","20","IEEE","17 Nov 2016","4-7 Oct. 2016","4-7 Oct. 2016","IEEE","IEEE Conferences"
"Distributed Direction of Arrival Estimation-Aided Cyberattack Detection in Networked Multi-Robot Systems","S. Lee; B. -C. Min","Department of Computer and Information Technology, Purdue University, West Lafayette, IN, USA; Department of Computer and Information Technology, Purdue University, West Lafayette, IN, USA",2018 IEEE/RSJ International Conference on Intelligent Robots and Systems (IROS),"6 Jan 2019","2018","","","1","9","This study proposes a Direction of Arrival (DoA)-aided attack detection scheme to identify cyberattacks on networked multi-robot systems. For each agent, a local estimator is designed to generate robust residuals, and a parametric statistical tool corresponding to the residuals is elaborated to build sensitive decision rules. These locally stored residuals and thresholds are shared between robots via a wireless network, allowing a multi-robot system to complete its mission in the presence of one or more compromised agents. The proposed DoA-aided attack detection scheme is tested on a multi-robot testbed with a team of 10 robots. Experimental results demonstrate that the proposed detection scheme enables each robot to identify malicious activities without shearing the global coordination.","2153-0866","978-1-5386-8094-0","10.1109/IROS.2018.8594465","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8594465","","Direction-of-arrival estimation;Robot sensing systems;Multi-robot systems;Antenna measurements;Robot kinematics","","6","","18","IEEE","6 Jan 2019","1-5 Oct. 2018","1-5 Oct. 2018","IEEE","IEEE Conferences"
"Joint Device Positioning and Clock Synchronization in 5G Ultra-Dense Networks","M. Koivisto; M. Costa; J. Werner; K. Heiska; J. Talvitie; K. Leppänen; V. Koivunen; M. Valkama","Laboratory of Electronics and Communications Engineering, Tampere University of Technology, Tampere, Finland; Huawei Technologies Oy (Finland) Co., Ltd, Helsinki, Finland; Laboratory of Electronics and Communications Engineering, Tampere University of Technology, Tampere, Finland; Huawei Technologies Oy (Finland) Co., Ltd, Helsinki, Finland; Laboratory of Electronics and Communications Engineering, Tampere University of Technology, Tampere, Finland; Huawei Technologies Oy (Finland) Co., Ltd, Helsinki, Finland; Department of Signal Processing and Acoustics, Aalto University, Espoo, Finland; Laboratory of Electronics and Communications Engineering, Tampere University of Technology, Tampere, Finland",IEEE Transactions on Wireless Communications,"5 May 2017","2017","16","5","2866","2881","In this paper, we address the prospects and key enabling technologies for highly efficient and accurate device positioning and tracking in fifth generation (5G) radio access networks. Building on the premises of ultra-dense networks as well as on the adoption of multicarrier waveforms and antenna arrays in the access nodes (ANs), we first formulate extended Kalman filter (EKF)-based solutions for computationally efficient joint estimation and tracking of the time of arrival (ToA) and direction of arrival (DoA) of the user nodes (UNs) using uplink reference signals. Then, a second EKF stage is proposed in order to fuse the individual DoA and ToA estimates from one or several ANs into a UN position estimate. Since all the processing takes place at the network side, the computing complexity and energy consumption at the UN side are kept to a minimum. The cascaded EKFs proposed in this article also take into account the unavoidable relative clock offsets between UNs and ANs, such that reliable clock synchronization of the access-link is obtained as a valuable by-product. The proposed cascaded EKF scheme is then revised and extended to more general and challenging scenarios where not only the UNs have clock offsets against the network time, but also the ANs themselves are not mutually synchronized in time. Finally, comprehensive performance evaluations of the proposed solutions on a realistic 5G network setup, building on the METIS project based outdoor Madrid map model together with complete ray tracing based propagation modeling, are provided. The obtained results clearly demonstrate that by using the developed methods, sub-meter scale positioning and tracking accuracy of moving devices is indeed technically feasible in future 5G radio access networks operating at sub-6 GHz frequencies, despite the realistic assumptions related to clock offsets and potentially even under unsynchronized network elements.","1558-2248","","10.1109/TWC.2017.2669963","Doctoral Program of the President of Tampere University of Technology; Finnish Funding Agency for Technology and Innovation (Tekes) under the Projects 5G Networks and Device Positioning, Future Small-Cell Networks using Reconfigurable Antennas, and TAKE-5: 5th Evolution Take of Wireless Communication Networks; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7880669","5G networks;antenna array;direction of arrival;extended Kalman filter;line of sight;location-awareness;positioning;synchronization;time of arrival;tracking;ultra-dense networks","5G mobile communication;Direction-of-arrival estimation;Clocks;Synchronization;Antenna arrays;Estimation;Buildings","","204","","58","IEEE","17 Mar 2017","May 2017","","IEEE","IEEE Journals"
"Kalman filter based localization and tracking estimation for HIMR RFID systems","Q. Yang; D. G. Taylor; G. D. Durgin","School of Electrical and Computer Engineering, Georgia Institute of Technology, Atlanta, USA; School of Electrical and Computer Engineering, Georgia Institute of Technology, Atlanta, USA; School of Electrical and Computer Engineering, Georgia Institute of Technology, Atlanta, USA",2018 IEEE International Conference on RFID (RFID),"11 Jun 2018","2018","","","1","5","Fine-scale RFID motion capture and localization systems are important for emerging applications such as robotic wayfaring, virtual reality, remote motion capture, and tracking. Among all RFID localization and tracking systems, hybrid schemes have the highest accuracy (5-400 cm) and largest range (hundreds of meters) by combining a variety of sources. Recently, linear estimators have been introduced to hybrid inertial microwave reflectometry (HIMR) RFID systems for location and tracking estimation. In this paper, we add a Kalman filter to the output of the original HIMR estimator as a way to refine the precision of the technique. Simulation results show that compared to sensor outputs, fixed-gain and variable-gain versions of the Kalman filter track position much more accurately, with around 5 mm of rms error at a range of 1.2 m.","2573-7635","978-1-5386-1456-3","10.1109/RFID.2018.8376199","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8376199","RFID localization and tracking system;hetero-geneous model;Kalman filter;localization and tracking estimation","Radiofrequency identification;Tracking;Kalman filters;Radio frequency;Acceleration;Mean square error methods;Position measurement","","16","","8","IEEE","11 Jun 2018","10-12 April 2018","10-12 April 2018","IEEE","IEEE Conferences"
"Phase Difference of Arrival Aided Downlink Time Difference of Arrival Ultra-Wide Band Positioning System","J. Krška; C. Gentner; V. Navrátil","Department of Radio Engineering, Faculty of Electrical Engineering, Czech Technical University in Prague, Prague, Czech Republic; German Aerospace Center (DLR), Institute of Communications and Navigation, Weßling, Germany; Department of Radio Engineering, Faculty of Electrical Engineering, Czech Technical University in Prague, Prague, Czech Republic",IEEE Access,"13 May 2025","2025","13","","81628","81642","Currently there is a growing demand for accurate and reliable positioning indoors or in other environments, where Global Navigation Satellite Systems (GNSS) are unavailable. The precise positioning is required for example by autonomous vehicles used in the industry, safety anti-collision systems or for tracking of goods. Ultra-Wide Band (UWB) positioning systems provide precise location information and are therefore often utilized in such scenarios. The GNSS-like Downlink Time Difference of Arrival (TDoA) method is well suited for these problems, enabling unlimited number of simultaneous users. The addition of independent measurements is often sought for improved precision and robustness of the position estimates. So far, only time-based measurements were available, however, UWB boards capable of Phase Difference of Arrival (PDoA) and thus Angle of Arrival measurements have been introduced recently. In this article we leverage UWB-PDoA board with two Qorvo DW1000 transceivers that share a common clock. Its position is estimated by fusing the TDoA and PDoA by Extended Kalman Filter (EKF) in downlink-based system. The EKF tracks the clock bias between the two chips; consequently, prior calibration is unnecessary, as it is done online. Moreover, precise localization is enabled through the algorithm that resolves the ambiguity of PDoA measurements. The positioning performance evaluation shows improvement in accuracy with respect to the TDoA-only solution. The root-mean-square error decreased from 16.38 cm to 15.09 cm, i.e., 8 %, when evaluated among all test points. In the best case, reduction from 14.79 cm to 10.14 cm, i.e., 35 % was observed.","2169-3536","","10.1109/ACCESS.2025.3567821","Deutsches Zentrum für Luft- und Raumfahrt (DLR) within the framework of the DLR Project HiGAIN; Grant Agency of the Czech Technical University in Prague(grant numbers:SGS22/169/OHK3/3T/13); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10990153","Direction-of-arrival estimation;indoor navigation;Kalman filters;radio navigation;ultra wideband technology","Antenna measurements;Phase measurement;Semiconductor device measurement;Accuracy;Position measurement;Estimation;Downlink;Clocks;Wavelength measurement;Time difference of arrival","","1","","19","CCBY","7 May 2025","2025","","IEEE","IEEE Journals"
"An augmented cubature Kalman filter for nonlinear dynamical systems with random parameters","X. Qu; L. Mu","College of Computer Science and Technology, Southwest University for Nationalities, Chengdu, Sichuan, China; College of Computer Science and Technology, Southwest University for Nationalities, Chengdu, Sichuan, China",2017 36th Chinese Control Conference (CCC),"11 Sep 2017","2017","","","1114","1118","In this paper, we investigate the Bayesian filtering problem for discrete nonlinear dynamical systems which contain random parameters. An augmented cubature Kalman filter (CKF) is developed to deal with the random parameters, where the state vector is enlarged by incorporating the random parameters. The corresponding number of cubature points is increased, so the augmented CKF method requires more computational complexity. However, the estimation accuracy is improved in comparison with that of the classical CKF method which uses the nominal values of the random parameters. An application to the mobile source localization with time difference of arrival (TDOA) measurements and random sensor positions is provided where the simulation results illustrate that the augmented CKF method leads to a superior performance in comparison with the classical CKF method.","1934-1768","978-988-15639-3-4","10.23919/ChiCC.2017.8027496","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8027496","Cubature Kalman filter;augmented system;cubature point;random parameters","Kalman filters;Bayes methods;Mobile communication;Probability density function;Nonlinear dynamical systems;Noise measurement;Estimation","","","","12","","11 Sep 2017","26-28 July 2017","26-28 July 2017","IEEE","IEEE Conferences"
"Beam Tracking for Distributed Millimeter-Wave Massive MIMO Systems Based on the Unscented Kalman Filter","P. Zhu; H. Lin; J. Bao; J. Li; D. Wang","National Mobile Communications Research Laboratory, Southeast University, Nanjing, China; National Mobile Communications Research Laboratory, Southeast University, Nanjing, China; National Mobile Communications Research Laboratory, Southeast University, Nanjing, China; National Mobile Communications Research Laboratory, Southeast University, Nanjing, China; National Mobile Communications Research Laboratory, Southeast University, Nanjing, China",IEEE Wireless Communications Letters,"8 Apr 2022","2022","11","4","712","716","In this letter, a beam tracking problem is studied in distributed millimeter-wave (mm-wave) massive multiple-input multiple-output (MIMO) systems. Firstly, a monopulse beam direction estimation method for a distributed mm-wave massive MIMO system is introduced. However, this method is very sensitive to noise and must be performed in every time slot in a single-user moving scene. To improve its accuracy, a monopulse beam tracking method based on the unscented Kalman filter (UKF) for a distributed mm-wave massive MIMO system is proposed. The simulation results show that the proposed beam tracking method has better tracking performance under different SNRs and different numbers of antennas of remote antenna units (RAUs), and its robustness and generalizability are quite well.","2162-2345","","10.1109/LWC.2022.3140852","National Key Research and Development Program of China(grant numbers:2019YFE0113400); National Natural Science Foundation of China(grant numbers:62171126,61871122); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9672140","Millimeter wave;distributed MIMO;beam tracking;Kalman filter;monopulse","Massive MIMO;Kalman filters;Estimation;Antenna arrays;Wireless communication;Millimeter wave technology;Matrix decomposition","","19","","15","IEEE","6 Jan 2022","April 2022","","IEEE","IEEE Journals"
